id,url,published_date,title,abstract,source,type,updated,section,adx_keywords
100000009291293,https://www.nytimes.com/2024/02/01/style/pookie-jett-tiktok-campbell-puckett.html,2024-02-01,A Couple Went Viral. Then the Internet Started Digging.,Pookie is looking absolutely fire tonight.,New York Times,Article,2024-02-04 15:10:45,Style,Social Media
100000009269929,https://www.nytimes.com/interactive/2024/01/18/opinion/trump-cabinet-election-2024.html,2024-01-18,What 17 of Trump’s ‘Best People’ Said About Him,It’s usually rare for a president to be criticized by his own high-level officials. But it was remarkably common for former President Trump.,New York Times,Interactive,2024-01-20 19:10:10,Opinion,"United States Politics and Government;United States Defense and Military Forces;Presidential Election of 2024;Presidential Election of 2020;Storming of the US Capitol (Jan, 2021);Trump, Donald J;Barr, William P;Kelly, John F (1950- );Pence, Mike;Haley, Nikki R;Milley, Mark A;Spencer, Richard V;McMaster, H R;Mattis, James N;Esper, Mark T;Chao, Elaine L;Azar, Alex M II;Tillerson, Rex W;Coats, Dan;DeVos, Elizabeth (1958- );Mulvaney, Mick;Bolton, John R;Pompeo, Mike"
100000009285336,https://www.nytimes.com/2024/01/27/nyregion/roberta-kaplan-lawyer-carroll-trump-trial.html,2024-01-27,"In Trump’s Bitter, Yearslong Brawl With Roberta Kaplan, He Keeps Losing","When they faced off at E. Jean Carroll’s defamation trial, it was a clash of two New Yorkers, both formidable combatants and talkers, but products of different worlds.",New York Times,Article,2024-01-31 15:05:19,New York,"Libel and Slander;Compensation for Damages (Law);Decisions and Verdicts;Suits and Litigation (Civil);Sex Crimes;Legal Profession;United States Politics and Government;Kaplan, Roberta A;Carroll, E Jean;Trump, Donald J"
100000009200691,https://www.nytimes.com/2024/01/22/well/move/strength-30-second-power-test-aging.html,2024-01-22,Take the 30-Second Power Test,You need more than strength to age well — you also need power. Here’s how to measure how much you have.,New York Times,Article,2024-02-05 19:20:27,Well,"Content Type: Service;Exercise;Muscles;Age, Chronological;Weight Lifting;Elderly;Physical Therapy"
100000009278687,https://www.nytimes.com/interactive/2024/01/23/us/elections/results-new-hampshire-republican-primary.html,2024-01-23,New Hampshire Republican Primary Election Results,"Get live election results, maps and the Needle forecast from the New Hampshire primary.",New York Times,Interactive,2024-02-02 18:22:12,U.S.,"internal-paywall-exempt;Elections;Primaries and Caucuses;Presidential Elections (US);Presidential Election of 2024;Trump, Donald J;Haley, Nikki R;DeSantis, Ron;Christie, Christopher J;Hutchinson, Asa;Johnson, Perry (1948- );Pence, Mike;Ramaswamy, Vivek (1985- );Scott, Timothy Eugene;New Hampshire"
100000009202177,https://www.nytimes.com/2024/01/08/well/eat/salmon-health-benefits.html,2024-01-08,Just How Healthy Is Salmon?,Experts explain why it’s such a nutritional powerhouse and if all varieties are created equal.,New York Times,Article,2024-01-17 17:46:14,Well,Diet and Nutrition;Salmon;Omega-3 Fatty Acids;Hazardous and Toxic Substances;PCB (Polychlorinated Biphenyls);Mercury (Metal);Content Type: Service
100000009280317,https://www.nytimes.com/2024/01/24/opinion/barbie-movie-oscars.html,2024-01-24,"‘Barbie’ Is Bad. There, I Said It.",There’s a crucial difference between liking the idea of a movie and liking the movie itself.,New York Times,Article,2024-01-25 20:12:06,Opinion,"Movies;Academy Awards (Oscars);Women and Girls;Barbie (Doll);Discrimination;Dolls;Women's Rights;Gerwig, Greta;Robbie, Margot;Mattel Inc"
100000009254455,https://www.nytimes.com/2024/01/08/movies/golden-globes-best-worst.html,2024-01-08,Best and Worst Moments From the 2024 Golden Globes,"Lily Gladstone made history, Jo Koy did not. And dressing on a theme proved a hit. These were just some of the highs and lows.",New York Times,Article,2024-01-09 12:50:40,Movies,"Golden Globes (Awards);Movies;Actors and Actresses;Television;Gladstone, Lily;Koy, Jo;Culkin, Kieran;Downey, Robert Jr;Triet, Justine;Wong, Ali (1982- );Yeun, Steven"
100000009263551,https://www.nytimes.com/interactive/2024/01/15/us/elections/results-iowa-caucus.html,2024-01-15,Iowa Caucus Results,"Get live election results, maps and our live forecast of the outcome from the Iowa Republican caucus.",New York Times,Interactive,2024-01-23 21:53:02,U.S.,"Elections;Presidential Election of 2024;Primaries and Caucuses;Presidential Elections (US);internal-paywall-exempt;Christie, Christopher J;Hutchinson, Asa;Trump, Donald J;Haley, Nikki R;Ramaswamy, Vivek (1985- );DeSantis, Ron;Iowa"
100000009276143,https://www.nytimes.com/interactive/2024/01/22/dining/restaurant-menu-trends.html,2024-01-22,The Menu Trends That Define Dining Right Now,"We gathered 121 menus from restaurants all over the country. Together, they offer a glimpse into the tastes and values of today.",New York Times,Interactive,2024-01-25 12:23:41,Food,Restaurants;vis-design;United States
100000009281204,https://www.nytimes.com/2024/01/25/us/alabama-nitrogen-execution-kenneth-smith.html,2024-01-25,Alabama Carries Out First U.S. Execution by Nitrogen,The state executed Kenneth Smith on Thursday using the untested method of nitrogen hypoxia after the Supreme Court declined to intervene.,New York Times,Article,2024-01-25 23:39:44,U.S.,"Capital Punishment;Nitrogen;Prisons and Prisoners;Smith, Kenneth (1988 Murder);Corrections Department (Ala);Alabama"
100000009266576,https://www.nytimes.com/2024/01/15/style/emmys-fashion.html,2024-01-15,15 Looks That Did the Most at the Emmys,"These outfits stood out on a carpet full of feathers, beads, sequins, diamonds and lots of well-tailored suits.",New York Times,Article,2024-01-17 23:47:44,Style,Fashion and Apparel;Television;Actors and Actresses;Emmy Awards
100000009269306,https://www.nytimes.com/2024/01/17/world/europe/princess-kate-middleton-abdominal-surgery.html,2024-01-17,Princess of Wales to Be Hospitalized for 10 Days After Abdominal Surgery,"Kensington Palace said Catherine, the wife of Prince William, would not return to public duties until after Easter. Separately, King Charles will receive prostate treatment next week.",New York Times,Article,2024-01-17 23:24:35,World,"Royal Families;Catherine, Duchess of Cambridge;William, Duke of Cambridge;Charles III, King of the United Kingdom;Great Britain"
100000009261062,https://www.nytimes.com/interactive/2024/us/freezing-temperatures-cold-weather-map.html,2024-01-11,Tracking Freezing Temperatures in the U.S.,See detailed maps of the latest forecast for freezing temperatures in the United States.,New York Times,Interactive,2024-02-06 13:14:50,U.S.,Wind;Weather;Cold and Cold Spells;Frostbite;States (US);United States
100000009274125,https://www.nytimes.com/interactive/2024/01/20/us/dei-woke-claremont-institute.html,2024-01-20,‘America Is Under Attack’: Inside the Anti-D.E.I. Crusade,The backlash against “wokeism” has led a growing number of states to ban D.E.I. programs at public universities. Thousands of emails and other documents reveal the playbook — and grievances — behind one strand of the anti-D.E.I. campaign.,New York Times,Interactive,2024-01-22 09:16:18,U.S.,Diversity Initiatives;Colleges and Universities;Discrimination;Conservatism (US Politics);States (US);Republican Party;Claremont Institute;United States;Texas
100000009257076,https://www.nytimes.com/2024/01/09/nyregion/tunnel-synagogue-chabad-lubavitch.html,2024-01-09,Secret Synagogue Tunnel Sets Off Altercation That Leads to 9 Arrests,Videos showed a tumultuous scene as young Hasidic men clashed with the police in the global headquarters of the Chabad-Lubavitcher movement in Brooklyn.,New York Times,Article,2024-01-10 23:30:42,New York,"Jews and Judaism;Bridges and Tunnels;Synagogues;Police;Hasidism;Schneerson, Menachem Mendel;Chabad-Lubavitch;Crown Heights (Brooklyn, NY)"
100000009267765,https://www.nytimes.com/interactive/2024/01/19/technology/artificial-intelligence-image-generators-faces-quiz.html,2024-01-19,Test Yourself: Which Faces Were Made by A.I.?,"People tend to overestimate their ability to spot digital fakes, researchers found.",New York Times,Interactive,2024-01-20 21:34:55,Technology,Artificial Intelligence;Photography;Rumors and Misinformation;Face;Research;Whites;Race and Ethnicity;Content Type: Quiz
100000009267814,https://www.nytimes.com/2024/01/23/movies/2024-oscar-nominees-list.html,2024-01-23,Oscar Nominees 2024: See the Full List,The complete list of Academy Award nominees for 2024.,New York Times,Article,2024-01-24 14:11:48,Movies,Academy Awards (Oscars)
100000009287151,https://www.nytimes.com/2024/02/02/opinion/transgender-children-gender-dysphoria.html,2024-02-02,"As Kids, They Thought They Were Trans. They No Longer Do.",Trans activists have pushed an ideological extremism by pressing for an unproven treatment orthodoxy.,New York Times,Article,2024-02-05 15:08:48,Opinion,Transgender;Mental Health and Disorders;Homosexuality and Bisexuality;Teenagers and Adolescence;Children and Childhood;Psychology and Psychologists;Therapy and Rehabilitation;Suicides and Suicide Attempts;Politics and Government
100000009259203,https://www.nytimes.com/2024/01/13/books/molly-roden-winter-more-book-open-marriage.html,2024-01-13,How a Polyamorous Mom Had ‘a Big Sexual Adventure’ and Found Herself,"In her memoir, “More,” Molly Roden Winter recounts the highs and lows of juggling an open marriage with work and child care.",New York Times,Article,2024-01-23 14:18:11,Books,"Books and Literature;Content Type: Personal Profile;Polyamory and Non-Monogamous Relationships;Sex;Marriages;Winter, Molly Roden"
